number,link,date,name,first_review,second_review,rating,n_reviews,type,price_range,price
1,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,Pineapple Bistro & Bar,“Skip it”,“Skip it”,10,1,American,$$ - $$$,mid_range
2,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,1. Mersea Restaurant,“ Best fish and chips in San Francisco”,“ Best fish and chips in San Francisco”,50,208,"American, Bar",$$ - $$$,mid_range
3,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,2. Eight Am,“The yogurt/granola parfait was huge and...”,“The yogurt/granola parfait was huge and...”,45,1140,"American, Cafe",$$ - $$$,mid_range
4,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,3. Quince,“A wonderful duck agnolotti dish was then followed by lamb 3ways.”,“A wonderful duck agnolotti dish was then followed by lamb 3ways.”,45,543,French,$$$$,fine_dining
5,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,4. Kokkari Estiatorio,“This time I has Gigantes and grilled sea bass .”,“This time I has Gigantes and grilled sea bass .”,45,2691,"Mediterranean, Greek",$$$$,fine_dining
6,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,5. Chapeau!,"“ Scallops in a mushroom foam sauce, to die for.”","“ Scallops in a mushroom foam sauce, to die for.”",45,298,"French, European",$$$$,fine_dining
7,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,6. Pacific Cafe,“Fish is the specialty and both scallops and halibut Parmesan was as hubby say...”,“Fish is the specialty and both scallops and halibut Parmesan was as hubby say...”,45,239,"American, Seafood",$$ - $$$,mid_range
8,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,7. Lapisara Eatery,"“It is a Thai restaurant, but offers hearty American-style fare for breakfast.”","“It is a Thai restaurant, but offers hearty American-style fare for breakfast.”",45,169,"Asian, Thai",$$ - $$$,mid_range
9,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,8. L'ardoise Bistro,"“The favorite dishes were the duck confit , the salmon tartare and the crime br...”","“The favorite dishes were the duck confit , the salmon tartare and the crime br...”",45,235,"French, European",$$ - $$$,mid_range
10,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,9. Seven Hills,"“Amazing starter of nectarine, pistachio, rocket and mozzarella salad followed...”","“Amazing starter of nectarine, pistachio, rocket and mozzarella salad followed...”",45,922,"Seafood, Italian",$$$$,fine_dining
11,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,10. Hollywood Cafe,"“Excellent Eggs Benedict with Asparagus , and Pancakes too.”","“Excellent Eggs Benedict with Asparagus , and Pancakes too.”",45,3769,"American, Cafe",$$ - $$$,mid_range
12,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,11. Hog Island Oyster Company,"“We had the generous fish sliders and the mussels , which came with delicious b...”","“We had the generous fish sliders and the mussels , which came with delicious b...”",45,2235,"American, Seafood",$$ - $$$,mid_range
13,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,12. Jeanne D'Arc Restaurant,“I had the Filet Mignon and it was the best I’ve ever had in a number of years...”,“I had the Filet Mignon and it was the best I’ve ever had in a number of years...”,45,678,"French, European",$$ - $$$,mid_range
14,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,13. Betty Lou's Seafood and Grill,“We shared the wok cooked crab and sand dabs and both were so great!”,“We shared the wok cooked crab and sand dabs and both were so great!”,45,240,Seafood,$$ - $$$,mid_range
15,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,14. Anchor Oyster Bar & Seafood Market,"“... San Francisco and you love great seafood , an intimate atmosphere, and a S...”","“... San Francisco and you love great seafood , an intimate atmosphere, and a S...”",45,639,"American, Seafood",$$ - $$$,mid_range
16,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,15. Sweet Maple,“Chicken sausage curry scramble...amazing.”,“Chicken sausage curry scramble...amazing.”,45,892,"American, Cafe",$$ - $$$,mid_range
17,https://www.tripadvisor.com/Restaurants-g60713-San_Francisco_California.html,20200116_1524,16. E Tutto Qua,"“Three of us had some form of the homemade pasta --to die for--, and one had th...”","“Three of us had some form of the homemade pasta --to die for--, and one had th...”",45,1404,"Seafood, Italian",$$ - $$$,mid_range
